contig_id	accepted	reason	selected	rescue	score	max_short_breadth	timepoints_supported	length	source_ids	sequence_sha256
LANTERN_C47723AEE4FA28947	false	baseline_cluster_present	true	false	0.5666666666666667	1.0	2	234388	megahit_pair,megahit_s0,megahit_s1	47723aee4fa28947c5b571b58050060d06df8069649a1414051af605d73e3fa0
LANTERN_C45E3D994AC1315A8	false	baseline_cluster_present	true	false	0.5666522666666667	0.99988	2	199407	megahit_pair,megahit_s0,megahit_s1	45e3d994ac1315a83969513b96d0f3a4d332b1ca4f135ea213c7c35d45638020
LANTERN_CA2C7EC1A51C9FBA1	false	baseline_cluster_present	true	false	0.5666666666666667	1.0	2	172957	megahit_pair,megahit_s0,megahit_s1	a2c7ec1a51c9fba152f34853b9ff4ad4063546da8be318ebed4860f4ac6bbd48
LANTERN_C2F7819F22C83CE94	false	baseline_cluster_present	true	false	0.5666666666666667	1.0	2	141877	megahit_pair,megahit_s0,megahit_s1	2f7819f22c83ce94a8f4699a3af86b890c5d78eaf5fe18a6eed697ccbcce5e13
LANTERN_CCA3180B8AFAE4E6A	false	baseline_cluster_present	true	false	0.5666378666666667	0.99976	2	141618	megahit_pair,megahit_s0,megahit_s1	ca3180b8afae4e6a3637aad2d01b5af788c0accfc0b1866d497de59e103bd872
LANTERN_CED569EAC53DA4C56	false	baseline_cluster_present	true	false	0.5666301866666666	0.999696	2	134754	megahit_pair,megahit_s0,megahit_s1	ed569eac53da4c560f995f0dedf19e58f5ac05c3519623fa65c212050d8186e2
LANTERN_C42D239CA94FD468D	false	baseline_cluster_present	true	false	0.5666666666666667	1.0	2	131680	megahit_pair,megahit_s0,megahit_s1	42d239ca94fd468dbc03c00732e9dbc729bd71897e2b3cd1938d17799b022c3e
LANTERN_C49E367F5B23B4A90	false	baseline_cluster_present	true	false	0.5666259866666666	0.999661	2	126924	megahit_pair,megahit_s0,megahit_s1	49e367f5b23b4a909a11782235c8dd95ac3a83e6405b6f381f49edac0e1c1267
LANTERN_C77DC6CC47FB799F6	false	baseline_cluster_present	true	false	0.5666666666666667	1.0	2	119611	megahit_pair,megahit_s0,megahit_s1	77dc6cc47fb799f68126007052b5a36725872acc668b917ebcb0e4bdffc619b3
LANTERN_CC524C0693115EDCC	false	baseline_cluster_present	true	false	0.5665620266666667	0.999128	2	118163	megahit_pair,megahit_s0,megahit_s1	c524c0693115edcc4686627428ccf05138485fbe6468ad11deee749d908e183f
LANTERN_C7C4FE47487C4B07D	false	baseline_cluster_present	true	false	0.5665842266666666	0.9993129999999999	2	114982	megahit_pair,megahit_s0,megahit_s1	7c4fe47487c4b07d53687ab8c393d534cdd616b69d347bee540a2aa6d2acc969
LANTERN_C17FC12FF8990934C	false	baseline_cluster_present	true	false	0.5666666666666667	1.0	2	111439	megahit_pair,megahit_s0,megahit_s1	17fc12ff8990934cdb3e12d328e758da49fe30f9e06ce0c4f8679f1c686d0363
LANTERN_C218645E31D821440	false	baseline_cluster_present	true	false	0.5666144666666666	0.999565	2	101066	megahit_pair,megahit_s0,megahit_s1	218645e31d821440ecb14a5b292ae1c1b4682c3301f16aed98b631f62d6373d9
LANTERN_CC45991DE703F0841	false	baseline_cluster_present	true	false	0.5661918812700925	1.0	2	95547	megahit_pair,megahit_s0,megahit_s1	c45991de703f0841928cbe75c9d09ef47f154908433b43abfb0f4a99cf7a5b8f
